Country Code,Access to electricity (% of population),Battle-related deaths (number of people),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),GDP per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total",Proportion of seats held by women in national parliaments (%),Income Group,Region
MEA,96.4226367435274,31093,324.157,5455.97429791083,..,72.0838364704563,33,599236,797801454,17.1317641349187,,"Middle East, North Africa, Afghanistan & Pakistan"
MEX,99.7,..,55.9959,10259.1766616403,61.322,75.069,12.4,25406,129739759,50,Upper middle income,Latin America & Caribbean
MHL,100,..,0.0001,5482.44553639985,..,66.945,23.4,20,38827,12.1212121212121,Upper middle income,East Asia & Pacific
MIC,95.1581054427171,83078,2383.2443,5965.65860396171,..,72.7427166791526,26.8300629294618,2487894,5891100497,25.4187664986801,,Middle income
MKD,100,..,0.5329,6423.99221393369,51.841,75.3160975609756,3,54,1827816,42.5,Upper middle income,Europe & Central Asia
MLI,54.5,1238,0.692,892.360907760383,63.667,60.439,49.3,46019,23769127,28.5714285714286,Low income,Sub-Saharan Africa
MLT,100,..,0.012,33408.2005015872,71.761,83.3560975609756,4.8,21,552747,27.8481012658228,High income,Middle East & North Africa
MMR,76.8,2439,3.6644,1177.76649647177,..,66.889,33.8,30479,54133798,..,Lower middle income,East Asia & Pacific
MNA,96.0854287468734,4372,174.9159,3008.48699915159,..,71.2758849884582,34.6421494603851,594530,729077445,16.9865368089373,,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)"
MNE,100,..,..,8278.0284985113,64.015,77.5878048780488,2,14,623529,20.9876543209877,Upper middle income,Europe & Central Asia
MNG,100,..,0.5694,4456.53627552726,60.451,72.1224390243902,11.4,750,3481145,17.1052631578947,Upper middle income,East Asia & Pacific
MNP,100,..,0.0001,..,..,78.808,..,..,45143,..,High income,East Asia & Pacific
MOZ,36,176,2.1222,610.433258850746,..,63.611,44.9,55770,33635160,43.2,Low income,Sub-Saharan Africa
